HGNC_approved_gene_symbol	HGNC_approved_gene_name	Pseudogene	UniProt_ID	Ensembl_ID	inSupplement	inQuickGO	dbTF_GO_annotation,_2019_(1347_genes)	Vaquerizas,_2009_(1536_genes)	TFCheckPoint,_Chawla,_2013_(1012_genes)	Saeed,_2014_(1572_genes)	Schmeier,_2017_(1750_genes)	TFClass,_Wingender,_2018_(1488_genes)	Lambert,_2018_(1630_TF_genes)	HumanTFDB,_Hu_et_al,_2019_(1637_genes)	Number_of_dbTF_lists	HT-SELEX,_Yin,_2017_(541_genes)_	PANTHER_family_ID	PANTHER_subfamily_ID	PANTHER_family_name
SOX30	SRY-box_transcription_factor_30		O94993	ENSG00000039600	1	1	SOX30	a	SOX30	SOX30	SOX30	4.1.1.8.1	SOX30	SOX30	7	SOX30	PTHR47279	SF1	TRANSCRIPTION_FACTOR_SOX-30
SOX4	SRY-box_transcription_factor_4		Q06945	ENSG00000124766	1	1	SOX4	a	SOX4	SOX4	SOX4	4.1.1.3.1	SOX4	SOX4	7	SOX4	PTHR10270	SF27	TRANSCRIPTION_FACTOR_SOX-4
SOX5	SRY-box_transcription_factor_5		P35711	ENSG00000134532	1	1	SOX5	a	SOX5	SOX5	SOX5	4.1.1.4.1	SOX5	SOX5	7		PTHR45789	SF3	TRANSCRIPTION_FACTOR_SOX-5
SOX6	SRY-box_transcription_factor_6		P35712	ENSG00000110693	1	1	SOX6	a	SOX6	SOX6	SOX6	4.1.1.4.2	SOX6	SOX6	7		PTHR45789	SF1	TRANSCRIPTION_FACTOR_SOX-6
SOX7	SRY-box_transcription_factor_7		Q9BT81	ENSG00000171056	1	1	SOX7	a	SOX7	SOX7	SOX7	4.1.1.6.1	SOX7	SOX7	7	SOX7	PTHR10270	SF210	TRANSCRIPTION_FACTOR_SOX-7
SOX8	SRY-box_transcription_factor_8		P57073	ENSG00000005513	1	1	SOX8	a	SOX8	SOX8	SOX8	4.1.1.5.1	SOX8	SOX8	7	SOX8	PTHR45803	SF2	TRANSCRIPTION_FACTOR_SOX-8
SOX9	SRY-box_transcription_factor_9		P48436	ENSG00000125398	1	1	SOX9	a	SOX9	SOX9	SOX9	4.1.1.5.2	SOX9	SOX9	7	SOX9	PTHR45803	SF1	TRANSCRIPTION_FACTOR_SOX-9
SP1	Sp1_transcription_factor		P08047	ENSG00000185591	1	1	SP1	a	SP1	SP1	SP1	2.3.1.1.1	SP1	SP1	7	SP1	PTHR23235	SF16	TRANSCRIPTION_FACTOR_SP1
SP100	SP100_nuclear_antigen		P23497	ENSG00000067066	1	1	SP100	c		SP100	SP100	5.3.5.2.1	SP100	SP100	6		PTHR46386	SF1	NUCLEAR_AUTOANTIGEN_SP-100
SP110	SP110_nuclear_body_protein		Q9HB58	ENSG00000135899	1	1	SP110	b	SP110	SP110	SP110	5.3.4.0.1	SP110	SP110	7		PTHR46386	SF7	SP110_NUCLEAR_BODY_PROTEIN
SP140	SP140_nuclear_body_protein		Q13342	ENSG00000079263	1	1	SP140			SP140	SP140	5.3.5.1.1	SP140	SP140	5		PTHR46386	SF5	NUCLEAR_BODY_PROTEIN_SP140
SP140L	SP140_nuclear_body_protein_like		Q9H930	ENSG00000185404	1	1	SP140L	b		SP140L	SP140L	5.3.5.1.2	SP140L	SP140L	6		PTHR46386	SF6	NUCLEAR_BODY_PROTEIN_SP140-LIKE_PROTEIN
SP2	Sp2_transcription_factor		Q02086	ENSG00000167182	1	1	SP2	a	SP2	SP2	SP2	2.3.1.1.2	SP2	SP2	7	SP2	PTHR23235	SF1	TRANSCRIPTION_FACTOR_SP2
SP3	Sp3_transcription_factor		Q02447	ENSG00000172845	1	1	SP3	a	SP3	SP3	SP3	2.3.1.1.3	SP3	SP3	7	SP3	PTHR23235	SF3	TRANSCRIPTION_FACTOR_SP3
SP4	Sp4_transcription_factor		Q02446	ENSG00000105866	1	1	SP4	a	SP4	SP4	SP4	2.3.1.1.4	SP4	SP4	7		PTHR23235	SF17	TRANSCRIPTION_FACTOR_SP4
SP5	Sp5_transcription_factor		Q6BEB4	ENSG00000204335	1	1	SP5	a	SP5	SP5	SP5	2.3.1.1.5	SP5	SP5	7		PTHR23235	SF29	TRANSCRIPTION_FACTOR_SP5
SP6	Sp6_transcription_factor		Q3SY56	ENSG00000189120	1	1	SP6	a	SP6	SP6	SP6	2.3.1.1.6	SP6	SP6	7		PTHR23235	SF23	TRANSCRIPTION_FACTOR_SP6
SP7	Sp7_transcription_factor		Q8TDD2	ENSG00000170374	1	1	SP7	a	SP7	SP7	SP7	2.3.1.1.7	SP7	SP7	7		PTHR23235	SF19	TRANSCRIPTION_FACTOR_SP7
SP8	Sp8_transcription_factor		Q8IXZ3	ENSG00000164651	1	1	SP8	b	SP8	SP8	SP8	2.3.1.1.8	SP8	SP8	7	SP8	PTHR23235	SF25	TRANSCRIPTION_FACTOR_SP8
SP9	Sp9_transcription_factor		P0CG40	ENSG00000217236	1	1	SP9	a	SP9	SP9	SP9	2.3.1.1.9	SP9	SP9	7	SP9	PTHR23235	SF26	TRANSCRIPTION_FACTOR_SP9
SPDEF	SAM_pointed_domain_containing_ETS_transcription_factor		O95238	ENSG00000124664	1	1	SPDEF	a	SPDEF	SPDEF	SPDEF	3.5.2.7.1	SPDEF	SPDEF	7	SPDEF	PTHR11849	SF182	SAM_POINTED_DOMAIN-CONTAINING_ETS_TRANSCRIPTION_FACTOR
SPI1	Spi-1_proto-oncogene		P17947	ENSG00000066336	1	1	SPI1	a	SPI1	SPI1	SPI1	3.5.2.5.1	SPI1	SPI1	7		PTHR11849	SF16	TRANSCRIPTION_FACTOR_PU.1
SPIB	Spi-B_transcription_factor		Q01892	ENSG00000269404	1	1	SPIB	a	SPIB	SPIB	SPIB	3.5.2.5.2	SPIB	SPIB	7	SPIB	PTHR11849	SF174	TRANSCRIPTION_FACTOR_SPI-B
SPIC	Spi-C_transcription_factor		Q8N5J4	ENSG00000166211	1	1	SPIC	a	SPIC	SPIC	SPIC	3.5.2.5.3	SPIC	SPIC	7		PTHR11849	SF17	TRANSCRIPTION_FACTOR_SPI-C
SPZ1	spermatogenic_leucine_zipper_1		Q9BXG8	ENSG00000164299	1	1			SPZ1	SPZ1	SPZ1		SPZ1	SPZ1	5		PTHR47889	SF1	SPERMATOGENIC_LEUCINE_ZIPPER_PROTEIN_1
SREBF1	sterol_regulatory_element_binding_transcription_factor_1		P36956	ENSG00000072310	1	1	SREBF1	a	SREBF1	SREBF1	SREBF1	1.2.6.3.1	SREBF1	SREBF1	7	SREBF1	PTHR46062	SF2	STEROL_REGULATORY_ELEMENT-BINDING_PROTEIN_1
SREBF2	sterol_regulatory_element_binding_transcription_factor_2		Q12772	ENSG00000198911	1	1	SREBF2	a	SREBF2	SREBF2	SREBF2	1.2.6.3.2	SREBF2	SREBF2	7	SREBF2	PTHR46062	SF3	STEROL_REGULATORY_ELEMENT-BINDING_PROTEIN_2
SRF	serum_response_factor		P11831	ENSG00000112658	1	1	SRF	a	SRF	SRF	SRF	5.1.2.0.1	SRF	SRF	7	SRF	PTHR48019	SF40	SERUM_RESPONSE_FACTOR
SRY	sex_determining_region_Y		Q05066	ENSG00000184895	1	1	SRY	a	SRY	SRY	SRY	4.1.1.1.1	SRY	SRY	7		PTHR10270	SF199	SEX-DETERMINING_REGION_Y_PROTEIN
ST18	ST18_C2H2C-type_zinc_finger_transcription_factor		O60284	ENSG00000147488	1	1	ST18	a	ST18	ST18	ST18	2.7.1.0.3	ST18	ST18	7		PTHR10816	SF9	SUPPRESSION_OF_TUMORIGENICITY_18_PROTEIN
STAT1	signal_transducer_and_activator_of_transcription_1		P42224	ENSG00000115415	1	1	STAT1	a	STAT1	STAT1	STAT1	6.2.1.0.1	STAT1	STAT1	7		PTHR11801	SF18	SIGNAL_TRANSDUCER_AND_ACTIVATOR_OF_TRANSCRIPTION_1-ALPHA/BETA
STAT2	signal_transducer_and_activator_of_transcription_2		P52630	ENSG00000170581	1	1	STAT2	a	STAT2	STAT2	STAT2	6.2.1.0.2	STAT2	STAT2	7		PTHR11801	SF41	SIGNAL_TRANSDUCER_AND_ACTIVATOR_OF_TRANSCRIPTION_2
STAT3	signal_transducer_and_activator_of_transcription_3		P40763	ENSG00000168610	1	1	STAT3	a	STAT3	STAT3	STAT3	6.2.1.0.3	STAT3	STAT3	7		PTHR11801	SF2	SIGNAL_TRANSDUCER_AND_ACTIVATOR_OF_TRANSCRIPTION_3
STAT4	signal_transducer_and_activator_of_transcription_4		Q14765	ENSG00000138378	1	1	STAT4	a	STAT4	STAT4	STAT4	6.2.1.0.4	STAT4	STAT4	7		PTHR11801	SF19	SIGNAL_TRANSDUCER_AND_ACTIVATOR_OF_TRANSCRIPTION_4
STAT5A	signal_transducer_and_activator_of_transcription_5A		P42229	ENSG00000126561	1	1	STAT5A	a	STAT5A	STAT5A	STAT5A	6.2.1.0.5	STAT5A	STAT5A	7		PTHR11801	SF47	SIGNAL_TRANSDUCER_AND_ACTIVATOR_OF_TRANSCRIPTION_5A
STAT5B	signal_transducer_and_activator_of_transcription_5B		P51692	ENSG00000173757	1	1	STAT5B	a	STAT5B	STAT5B	STAT5B	6.2.1.0.6	STAT5B	STAT5B	7		PTHR11801	SF39	SIGNAL_TRANSDUCER_AND_ACTIVATOR_OF_TRANSCRIPTION_5B
STAT6	signal_transducer_and_activator_of_transcription_6		P42226	ENSG00000166888	1	1	STAT6	a	STAT6	STAT6	STAT6	6.2.1.0.7	STAT6	STAT6	7		PTHR11801	SF48	SIGNAL_TRANSDUCER_AND_ACTIVATOR_OF_TRANSCRIPTION_6
STOX1	storkhead_box_1		Q6ZVD7	ENSG00000165730	1	1													
STOX2	storkhead_box_2		Q9P2F5	ENSG00000173320	1	1													
TAL1	TAL_bHLH_transcription_factor_1,_erythroid_differentiation_factor		P17542	ENSG00000162367	1	1	TAL1	b	TAL1	TAL1	TAL1	1.2.3.1.1	TAL1	TAL1	7		PTHR13864	SF16	T-CELL_ACUTE_LYMPHOCYTIC_LEUKEMIA_PROTEIN_1
TAL2	TAL_bHLH_transcription_factor_2		Q16559	ENSG00000186051	1	1	TAL2	b		TAL2	TAL2	1.2.3.1.2	TAL2	TAL2	6		PTHR13864	SF21	T-CELL_ACUTE_LYMPHOCYTIC_LEUKEMIA_PROTEIN_2
TBR1	T-box_brain_transcription_factor_1		Q16650	ENSG00000136535	1	1	TBR1	b	TBR1	TBR1	TBR1		TBR1	TBR1	6		PTHR11267	SF88	T-BOX_BRAIN_PROTEIN_1
TBX1	T-box_transcription_factor_1		O43435	ENSG00000184058	1	1	TBX1	a	TBX1	TBX1	TBX1	6.5.3.0.1	TBX1	TBX1	7	TBX1	PTHR11267	SF104	T-BOX_TRANSCRIPTION_FACTOR_TBX1
TBX10	T-box_transcription_factor_10		O75333	ENSG00000167800	1	1	TBX10	a	TBX10	TBX10	TBX10	6.5.3.0.2	TBX10	TBX10	7		PTHR11267	SF102	T-BOX_TRANSCRIPTION_FACTOR_TBX10
TBX15	T-box_transcription_factor_15		Q96SF7	ENSG00000092607	1	1	TBX15	b	TBX15	TBX15	TBX15	6.5.3.0.3	TBX15	TBX15	7	TBX15	PTHR11267	SF98	T-BOX_TRANSCRIPTION_FACTOR_TBX15
TBX18	T-box_transcription_factor_18		O95935	ENSG00000112837	1	1	TBX18	b	TBX18	TBX18	TBX18	6.5.3.0.4	TBX18	TBX18	7	TBX18	PTHR11267	SF20	T-BOX_TRANSCRIPTION_FACTOR_TBX18
TBX19	T-box_transcription_factor_19		O60806	ENSG00000143178	1	1	TBX19	a	TBX19	TBX19	TBX19	6.5.1.0.1,6.5.1.0.2	TBX19	TBX19	7	TBX19	PTHR11267	SF114	T-BOX_TRANSCRIPTION_FACTOR_TBX19
TBX2	T-box_transcription_factor_2		Q13207	ENSG00000121068	1	1	TBX2	a	TBX2	TBX2	TBX2	6.5.4.0.1	TBX2	TBX2	7	TBX2	PTHR11267	SF82	T-BOX_TRANSCRIPTION_FACTOR_TBX2
TBX20	T-box_transcription_factor_20		Q9UMR3	ENSG00000164532	1	1	TBX20	b	TBX20	TBX20	TBX20	6.5.3.0.5	TBX20	TBX20	7	TBX20	PTHR11267	SF129	T-BOX_TRANSCRIPTION_FACTOR_TBX20
TBX21	T-box_transcription_factor_21		Q9UL17	ENSG00000073861	1	1	TBX21	a	TBX21	TBX21	TBX21	6.5.3.0	TBX21	TBX21	7	TBX21	PTHR11267	SF125	T-BOX_TRANSCRIPTION_FACTOR_TBX21
TBX22	T-box_transcription_factor_22		Q9Y458	ENSG00000122145	1	1	TBX22	b	TBX22	TBX22	TBX22	6.5.3.0.6	TBX22	TBX22	7		PTHR11267	SF116	T-BOX_TRANSCRIPTION_FACTOR_TBX22
TBX3	T-box_transcription_factor_3		O15119	ENSG00000135111	1	1	TBX3	a	TBX3	TBX3	TBX3	6.5.4.0.2	TBX3	TBX3	7	TBX3	PTHR11267	SF91	T-BOX_TRANSCRIPTION_FACTOR_TBX3
TBX4	T-box_transcription_factor_4		P57082	ENSG00000121075	1	1	TBX4	a	TBX4	TBX4	TBX4	6.5.4.0.3	TBX4	TBX4	7		PTHR11267	SF29	T-BOX_TRANSCRIPTION_FACTOR_TBX4
TBX5	T-box_transcription_factor_5		Q99593	ENSG00000089225	1	1	TBX5	a	TBX5	TBX5	TBX5	6.5.4.0.4	TBX5	TBX5	7		PTHR11267	SF28	T-BOX_TRANSCRIPTION_FACTOR_TBX5
TBX6	T-box_transcription_factor_6		O95947	ENSG00000149922	1	1	TBX6	a	TBX6	TBX6	TBX6	6.5.5.0.1	TBX6	TBX6	7	TBX6	PTHR11267	SF100	T-BOX_TRANSCRIPTION_FACTOR_TBX6
TBXT	T-box_transcription_factor_T		O15178	ENSG00000164458	1	1	TBXT	a	TBXT	TBXT	TBXT	6.5.1.0.1	TBXT	TBXT	7	TBXT	PTHR11267	SF83	T-BOX_TRANSCRIPTION_FACTOR_T
TCF12	transcription_factor_12		Q99081	ENSG00000140262	1	1	TCF12	a	TCF12	TCF12	TCF12	1.2.1.0.3	TCF12	TCF12	7	TCF12	PTHR11793	SF11	TRANSCRIPTION_FACTOR_12
TCF15	transcription_factor_15		Q12870	ENSG00000125878	1	1	TCF15	a	TCF15	TCF15	TCF15	1.2.3.2.5	TCF15	TCF15	7		PTHR23349	SF4	TRANSCRIPTION_FACTOR_15
TCF21	transcription_factor_21		O43680	ENSG00000118526	1	1	TCF21	a	TCF21	TCF21	TCF21	1.2.3.3.5	TCF21	TCF21	7	TCF21	PTHR23349	SF67	TRANSCRIPTION_FACTOR_21
TCF23	transcription_factor_23		Q7RTU1	ENSG00000163792	1	1	TCF23	c		TCF23	TCF23	1.2.3.3.3	TCF23	TCF23	6		PTHR23349	SF58	TRANSCRIPTION_FACTOR_23
TCF24	transcription_factor_24		Q7RTU0	ENSG00000261787	1	1		c		TCF24	TCF24		TCF24	TCF24	5		PTHR23349	SF48	TRANSCRIPTION_FACTOR_24
TCF3	transcription_factor_3		P15923	ENSG00000071564	1	1	TCF3	a	TCF3	TCF3	TCF3	1.2.1.0.1	TCF3	TCF3	7		PTHR11793	SF7	TRANSCRIPTION_FACTOR_E2-ALPHA
TCF4	transcription_factor_4		P15884	ENSG00000196628	1	1	TCF4	a	TCF4	TCF4	TCF4	1.2.1.0.2	TCF4	TCF4	7	TCF4	PTHR11793	SF10	TRANSCRIPTION_FACTOR_4
TCF7	transcription_factor_7		P36402	ENSG00000081059	1	1	TCF7	a	TCF7	TCF7	TCF7	4.1.3.0.1	TCF7	TCF7	7	TCF7	PTHR10373	SF33	TRANSCRIPTION_FACTOR_7
TCF7L1	transcription_factor_7_like_1		Q9HCS4	ENSG00000152284	1	1	TCF7L1	a	TCF7L1	TCF7L1	TCF7L1	4.1.3.0.2	TCF7L1	TCF7L1	7	TCF7L1	PTHR10373	SF25	TRANSCRIPTION_FACTOR_7-LIKE_1
TCF7L2	transcription_factor_7_like_2		Q9NQB0	ENSG00000148737	1	1	TCF7L2	a	TCF7L2	TCF7L2	TCF7L2	4.1.3.0.3	TCF7L2	TCF7L2	7		PTHR10373	SF32	TRANSCRIPTION_FACTOR_7-LIKE_2
TCFL5	transcription_factor_like_5		Q9UL49	ENSG00000101190	1	1	TCFL5	a	TCFL5	TCFL5	TCFL5	1.2.5.5.3	TCFL5	TCFL5	7	TCFL5	PTHR15402	SF2	TRANSCRIPTION_FACTOR-LIKE_5_PROTEIN
TEAD1	TEA_domain_transcription_factor_1		P28347	ENSG00000187079	1	1	TEAD1	a	TEAD1	TEAD1	TEAD1	3.6.1.0.1	TEAD1	TEAD1	7	TEAD1	PTHR11834	SF4	TRANSCRIPTIONAL_ENHANCER_FACTOR_TEF-1
TEAD2	TEA_domain_transcription_factor_2		Q15562	ENSG00000074219	1	1	TEAD2	a	TEAD2	TEAD2	TEAD2	3.6.1.0.3	TEAD2	TEAD2	7	TEAD2	PTHR11834	SF5	TRANSCRIPTIONAL_ENHANCER_FACTOR_TEF-4
TEAD3	TEA_domain_transcription_factor_3		Q99594	ENSG00000007866	1	1	TEAD3	a		TEAD3	TEAD3	3.6.1.0.4	TEAD3	TEAD3	6		PTHR11834	SF7	TRANSCRIPTIONAL_ENHANCER_FACTOR_TEF-5
TEAD4	TEA_domain_transcription_factor_4		Q15561	ENSG00000197905	1	1	TEAD4	a	TEAD4	TEAD4	TEAD4	3.6.1.0.2	TEAD4	TEAD4	7		PTHR11834	SF2	TRANSCRIPTIONAL_ENHANCER_FACTOR_TEF-3
TEF	TEF_transcription_factor,_PAR_bZIP_family_member		Q10587	ENSG00000167074	1	1	TEF	a	TEF	TEF	TEF	1.1.8.2.4	TEF	TEF	7	TEF	PTHR11988	SF24	THYROTROPH_EMBRYONIC_FACTOR
TFAP2A	transcription_factor_AP-2_alpha		P05549	ENSG00000137203	1	1	TFAP2A	a	TFAP2A	TFAP2A	TFAP2A	1.3.1.0.1	TFAP2A	TFAP2A	7	TFAP2A	PTHR10812	SF8	TRANSCRIPTION_FACTOR_AP-2-ALPHA
TFAP2B	transcription_factor_AP-2_beta		Q92481	ENSG00000008196	1	1	TFAP2B	a	TFAP2B	TFAP2B	TFAP2B	1.3.1.0.2	TFAP2B	TFAP2B	7	TFAP2B	PTHR10812	SF14	TRANSCRIPTION_FACTOR_AP-2-BETA
TFAP2C	transcription_factor_AP-2_gamma		Q92754	ENSG00000087510	1	1	TFAP2C	a	TFAP2C	TFAP2C	TFAP2C	1.3.1.0.3	TFAP2C	TFAP2C	7	TFAP2C	PTHR10812	SF9	TRANSCRIPTION_FACTOR_AP-2_GAMMA
TFAP2D	transcription_factor_AP-2_delta		Q7Z6R9	ENSG00000008197	1	1	TFAP2D	a	TFAP2D	TFAP2D	TFAP2D	1.3.1.0.4	TFAP2D	TFAP2D	7		PTHR10812	SF5	TRANSCRIPTION_FACTOR_AP-2-DELTA
TFAP2E	transcription_factor_AP-2_epsilon		Q6VUC0	ENSG00000116819	1	1	TFAP2E	a	TFAP2E	TFAP2E	TFAP2E	1.3.1.0.5	TFAP2E	TFAP2E	7	TFAP2E	PTHR10812	SF13	TRANSCRIPTION_FACTOR_AP-2-EPSILON
TFAP4	transcription_factor_AP-4		Q01664	ENSG00000090447	1	1	TFAP4	a	TFAP4	TFAP4	TFAP4	1.2.6.4.1	TFAP4	TFAP4	7	TFAP4	PTHR15741	SF27	TRANSCRIPTION_FACTOR_AP-4
TFCP2	transcription_factor_CP2		Q12800	ENSG00000135457	1	1	TFCP2	a	TFCP2	TFCP2	TFCP2	6.7.2.0.1	TFCP2	TFCP2	7	TFCP2	PTHR11037	SF11	ALPHA-GLOBIN_TRANSCRIPTION_FACTOR_CP2
TFCP2L1	transcription_factor_CP2_like_1		Q9NZI6	ENSG00000115112	1	1	TFCP2L1	a	TFCP2L1	TFCP2L1	TFCP2L1	6.7.2.0.2	TFCP2L1	TFCP2L1	7	TFCP2L1	PTHR11037	SF18	TRANSCRIPTION_FACTOR_CP2-LIKE_PROTEIN_1
TFDP1	transcription_factor_Dp-1		Q14186	ENSG00000198176	1	1	TFDP1	a	TFDP1	TFDP1	TFDP1	3.3.2.2.1	TFDP1	TFDP1	7		PTHR12548	SF4	TRANSCRIPTION_FACTOR_DP-1
TFDP2	transcription_factor_Dp-2		Q14188	ENSG00000114126	1	1	TFDP2	a	TFDP2	TFDP2	TFDP2	3.3.2.2.2	TFDP2	TFDP2	7		PTHR12548	SF5	TRANSCRIPTION_FACTOR_DP-2
TFE3	transcription_factor_binding_to_IGHM_enhancer_3		P19532	ENSG00000068323	1	1	TFE3	a	TFE3	TFE3	TFE3	1.2.6.1.1	TFE3	TFE3	7	TFE3	PTHR45776	SF3	TRANSCRIPTION_FACTOR_E3
TFEB	transcription_factor_EB		P19484	ENSG00000112561	1	1	TFEB	a	TFEB	TFEB	TFEB	1.2.6.1.2	TFEB	TFEB	7	TFEB	PTHR45776	SF5	TRANSCRIPTION_FACTOR_EB
TFEC	transcription_factor_EC		O14948	ENSG00000105967	1	1	TFEC	a	TFEC	TFEC	TFEC	1.2.6.1.3	TFEC	TFEC	7	TFEC	PTHR45776	SF1	TRANSCRIPTION_FACTOR_EC
TGIF1	TGFB_induced_factor_homeobox_1		Q15583	ENSG00000177426	1	1	TGIF1	a	TGIF1	TGIF1	TGIF1	3.1.4.5.1	TGIF1	TGIF1	7	TGIF1	PTHR11850	SF59	HOMEOBOX_PROTEIN_TGIF1
TGIF2	TGFB_induced_factor_homeobox_2		Q9GZN2	ENSG00000118707	1	1	TGIF2			TGIF2	TGIF2	3.1.4.5.2	TGIF2	TGIF2	5	TGIF2	PTHR11850	SF68	HOMEOBOX_PROTEIN_TGIF2
TGIF2LX	TGFB_induced_factor_homeobox_2_like_X-linked		Q8IUE1	ENSG00000153779	1	1	TGIF2LX	a	TGIF2LX	TGIF2LX	TGIF2LX	3.1.4.5.3	TGIF2LX	TGIF2LX	7	TGIF2LX	PTHR11850	SF205	HOMEOBOX_PROTEIN_TGIF2LX-RELATED
TGIF2LY	TGFB_induced_factor_homeobox_2_like_Y-linked		Q8IUE0	ENSG00000176679	1	1	TGIF2LY	a		TGIF2LY	TGIF2LY	3.1.4.5.4	TGIF2LY	TGIF2LY	6	TGIF2LY	PTHR11850		
THAP1	THAP_domain_containing_1		Q9NVV9	ENSG00000131931	1	1	THAP1	c		THAP1	THAP1	2.9.1.0.1	THAP1	THAP1	6		PTHR46600	SF5	THAP_DOMAIN-CONTAINING_PROTEIN_1
THAP11	THAP_domain_containing_11		Q96EK4	ENSG00000168286	1	1	THAP11	c	THAP11		THAP11	2.9.1.0.11	THAP11	THAP11	6		PTHR22794	SF2	THAP_DOMAIN-CONTAINING_PROTEIN_11
THRA	thyroid_hormone_receptor_alpha		P10827	ENSG00000126351	1	1	THRA	a	THRA	THRA	THRA	2.1.2.2.1	THRA	THRA	7		PTHR24082	SF42	THYROID_HORMONE_RECEPTOR_ALPHA
THRB	thyroid_hormone_receptor_beta		P10828	ENSG00000151090	1	1	THRB	a	THRB	THRB	THRB	2.1.2.2.2	THRB	THRB	7	THRB	PTHR24082	SF210	THYROID_HORMONE_RECEPTOR_BETA
TLX1	T_cell_leukemia_homeobox_1		P31314	ENSG00000107807	1	1	TLX1	a	TLX1	TLX1	TLX1	3.1.2.21.1	TLX1	TLX1	7		PTHR45921	SF2	T-CELL_LEUKEMIA_HOMEOBOX_PROTEIN_1
TLX2	T_cell_leukemia_homeobox_2		O43763	ENSG00000115297	1	1	TLX2	a	TLX2	TLX2	TLX2	3.1.2.21.2	TLX2	TLX2	7	TLX2	PTHR45921	SF3	T-CELL_LEUKEMIA_HOMEOBOX_PROTEIN_2
TLX3	T_cell_leukemia_homeobox_3		O43711	ENSG00000164438	1	1	TLX3	a		TLX3	TLX3	3.1.2.21.3	TLX3	TLX3	6	TLX3	PTHR45921	SF1	T-CELL_LEUKEMIA_HOMEOBOX_PROTEIN_3
TP53	tumor_protein_p53		P04637	ENSG00000141510	1	1	TP53	a	TP53	TP53	TP53	6.3.1.0.1	TP53	TP53	7		PTHR11447	SF6	CELLULAR_TUMOR_ANTIGEN_P53
TP63	tumor_protein_p63		Q9H3D4	ENSG00000073282	1	1	TP63	a	TP63	TP63	TP63	6.3.1.0.2	TP63	TP63	7		PTHR11447	SF8	TUMOR_PROTEIN_63
TP73	tumor_protein_p73		O15350	ENSG00000078900	1	1	TP73	a	TP73	TP73	TP73	6.3.1.0.3	TP73	TP73	7		PTHR11447	SF21	TUMOR_PROTEIN_P73
TPRX1	tetrapeptide_repeat_homeobox_1		Q8N7U7	ENSG00000178928	1	1	TPRX1	b		TPRX1	TPRX1	3.1.3.26.1	TPRX1	TPRX1	6		PTHR45793	SF12	TETRA-PEPTIDE_REPEAT_HOMEOBOX_PROTEIN_1
TRPS1	transcriptional_repressor_GATA_binding_1		Q9UHF7	ENSG00000104447	1	1	TRPS1	a	TRPS1	TRPS1	TRPS1	2.2.1.2.13	TRPS1	TRPS1	7		PTHR47034	SF1	ZINC_FINGER_TRANSCRIPTION_FACTOR_TRPS1
TSHZ1	teashirt_zinc_finger_homeobox_1		Q6ZSZ6	ENSG00000179981	1	1	TSHZ1	b	TSHZ1	TSHZ1	TSHZ1	3.1.8.2.1	TSHZ1	TSHZ1	7		PTHR12487	SF6	TEASHIRT_HOMOLOG_1
TSHZ2	teashirt_zinc_finger_homeobox_2		Q9NRE2	ENSG00000182463	1	1	TSHZ2	b	TSHZ2	TSHZ2	TSHZ2	3.1.8.2.2	TSHZ2	TSHZ2	7		PTHR12487	SF3	TEASHIRT_HOMOLOG_2
TSHZ3	teashirt_zinc_finger_homeobox_3		Q63HK5	ENSG00000121297	1	1	TSHZ3	a	TSHZ3	TSHZ3	TSHZ3	3.1.8.2.3	TSHZ3	TSHZ3	7		PTHR12487	SF5	TEASHIRT_HOMOLOG_3
TWIST1	twist_family_bHLH_transcription_factor_1		Q15672	ENSG00000122691	1	1	TWIST1	a	TWIST1	TWIST1	TWIST1	1.2.3.2.1	TWIST1	TWIST1	7		PTHR23349	SF64	TWIST-RELATED_PROTEIN_1
TWIST2	twist_family_bHLH_transcription_factor_2		Q8WVJ9	ENSG00000233608	1	1				TWIST2	TWIST2	1.2.3.2	TWIST2	TWIST2	5		PTHR23349	SF70	TWIST-RELATED_PROTEIN_2
UBP1	upstream_binding_protein_1		Q9NZI7	ENSG00000153560	1	1	UBP1	a	UBP1	UBP1	UBP1	6.7.2.0.3	UBP1	UBP1	7	UBP1	PTHR11037	SF13	UPSTREAM-BINDING_PROTEIN_1
UNCX	UNC_homeobox		A6NJT0	ENSG00000164853	1	1	UNCX	b		UNCX	UNCX	3.1.3.27.1	UNCX	UNCX	6	UNCX	PTHR46799	SF1	HOMEOBOX_PROTEIN_UNC-4_HOMOLOG
USF1	upstream_transcription_factor_1		P22415	ENSG00000158773	1	1	USF1	a	USF1	USF1	USF1	1.2.6.2.1	USF1	USF1	7	USF1	PTHR46117	SF1	UPSTREAM_STIMULATORY_FACTOR_1
USF2	upstream_transcription_factor_2,_c-fos_interacting		Q15853	ENSG00000105698	1	1	USF2	a	USF2	USF2	USF2	1.2.6.2.2	USF2	USF2	7	USF2	PTHR46117	SF2	UPSTREAM_STIMULATORY_FACTOR_2
USF3	upstream_transcription_factor_family_member_3		Q68DE3	ENSG00000176542	1	1	USF3	c		USF3	USF3		USF3	USF3	5		PTHR46970	SF1	BASIC_HELIX-LOOP-HELIX_DOMAIN-CONTAINING_PROTEIN_USF3
VAX1	ventral_anterior_homeobox_1		Q5SQQ9	ENSG00000148704	1	1	VAX1	a	VAX1	VAX1	VAX1	3.1.2.22.1	VAX1	VAX1	7	VAX1	PTHR24339	SF32	VENTRAL_ANTERIOR_HOMEOBOX_1
